taxonID,scientificName
148839,Brangas neora
258214,Rekoa zebina
258255,Thereus oppia
209725,Satyrium behrii
59125,Lycaena xanthoides
148795,Pseudolycaena damo
198804,Satyrium titus
58541,Satyrium liparops
126589,Calycopis isobeon
520398,Icaricia saepiolus
196543,Strymon bazochii
148497,Rekoa palegon
198803,Satyrium caryaevorus
257932,Arawacus jada
122365,Callophrys affinis
117345,Euphilotes enoptes
56243,Plebejus acmon
219488,Erora quaderna
142639,Lycaena epixanthe
216349,Celastrina humulus
193874,Panthiades bathildis
59127,Lycaena helloides
130785,Plebejus idas
209733,Agriades podarce
117333,Lycaena editha
117322,Lycaena cupreus
122379,Callophrys muiri
198805,Satyrium acadica
367948,Agriades glandon
58536,Lycaena dorcas
148769,Evenus regalis
205153,Phaeostrymon alcestis
179678,Euphilotes battoides
122384,Plebejus anna
224167,Lycaena dospassosi
148849,Rekoa meton
117360,Icaricia lupini
117339,Callophrys sheridanii
130300,Callophrys xami
125537,Zizina otis
230441,Satyrium favonius
148496,Arawacus sito
148495,Cyanophrys herodotus
258094,Ipidecla miadora
257939,Atlides polybe
205152,Chlorostrymon simaethis
148731,Theritas theocritus
258330,Gargina caninius
148835,Strymon yojoa
121993,Lampides boeticus
194335,Strymon rufofusca
123312,Eumaeus childrenae
148734,Cyanophrys longula
258232,Strymon mulucha
258445,Semonina semones
258211,Rekoa marius
59135,Satyrium auretorum
221964,Hypaurotis crysalus
346978,Callophrys loki
258389,Ostrinotes keila
219773,Euphilotes rita
258181,Parrhasius moctezuma
258370,Laothus erybathis
130219,Zizula cyna
148750,Strymon alea
204641,Electrostrymon hugon
257992,Contrafacia bassania
217941,Cyanophrys miserabilis
258080,Hemiargus hanno
257940,Aubergina hicetas
294004,Micandra cyda
215450,Brephidium pseudofea
198815,Celastrina serotina
55641,Polyommatus icarus
148491,Oenomaus ortygnus
82793,Celastrina neglectamajor
148489,Eumaeus toxea
257937,Atlides carpasia
59153,Philotes sonorensis
258170,Panthiades bitias
520392,Strymon echion
130321,Cyanophrys agricolor
257967,Calycopis demonassa
258150,Ministrymon phrutus
230445,Satyrium semiluna
117334,Lycaena nivalis
257938,Atlides inachus
210814,Euphilotes mojave
104876,Lycaena hermes
132536,Strymon martialis
258233,Strymon serapio
520381,Icaricia neurona
148781,Parrhasius polibetes
258377,Electrostrymon joya
62587,Euphilotes ancilla
215770,Callophrys fotis
60896,Callophrys rubi
256377,Ocaria thales
113324,Strymon avalona
